2020-07-12 12:03:03,945 INFO frappe.web {'site': 'localhost', 'remote_addr': '172.22.0.1', 'base_url': 'http://localhost:8005/api/method/frappe.core.doctype.user_permission.user_permission.get_user_permissions', 'full_path': '/api/method/frappe.core.doctype.user_permission.user_permission.get_user_permissions?', 'method': 'POST', 'scheme': 'http', 'http_status_code': 200}
2020-07-12 12:03:04,107 INFO frappe.web {'site': 'localhost', 'remote_addr': '172.22.0.1', 'base_url': 'http://localhost:8005/api/method/frappe.client.get_hooks', 'full_path': '/api/method/frappe.client.get_hooks?', 'method': 'POST', 'scheme': 'http', 'http_status_code': 200}
2020-07-12 12:03:04,180 INFO frappe.web {'site': 'localhost', 'remote_addr': '172.22.0.1', 'base_url': 'http://localhost:8005/api/method/frappe.utils.change_log.show_update_popup', 'full_path': '/api/method/frappe.utils.change_log.show_update_popup?', 'method': 'POST', 'scheme': 'http', 'http_status_code': 200}
2020-07-12 12:03:04,204 INFO frappe.web {'site': 'localhost', 'remote_addr': '172.22.0.1', 'base_url': 'http://localhost:8005/api/method/frappe.desk.doctype.tag.tag.get_tags_list_for_awesomebar', 'full_path': '/api/method/frappe.desk.doctype.tag.tag.get_tags_list_for_awesomebar?', 'method': 'POST', 'scheme': 'http', 'http_status_code': 200}
2020-07-12 12:03:04,207 INFO frappe.web {'site': 'localhost', 'remote_addr': '172.22.0.1', 'base_url': 'http://localhost:8005/api/method/frappe.client.get_js', 'full_path': '/api/method/frappe.client.get_js?items=%5B%22assets%2Ferpnext%2Fjs%2Fsetup_wizard.js%22%5D&_=1594555383614', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2020-07-12 12:03:04,277 INFO frappe.web {'site': 'localhost', 'remote_addr': '172.22.0.1', 'base_url': 'http://localhost:8005/api/method/frappe.chat.doctype.chat_profile.chat_profile.create', 'full_path': '/api/method/frappe.chat.doctype.chat_profile.chat_profile.create?', 'method': 'POST', 'scheme': 'http', 'http_status_code': 200}
2020-07-12 12:03:04,352 INFO frappe.web {'site': 'localhost', 'remote_addr': '172.22.0.1', 'base_url': 'http://localhost:8005/api/method/frappe.desk.page.setup_wizard.setup_wizard.load_languages', 'full_path': '/api/method/frappe.desk.page.setup_wizard.setup_wizard.load_languages?', 'method': 'POST', 'scheme': 'http', 'http_status_code': 200}
2020-07-12 12:03:04,381 INFO frappe.web {'site': 'localhost', 'remote_addr': '172.22.0.1', 'base_url': 'http://localhost:8005/api/method/frappe.chat.doctype.chat_profile.chat_profile.create', 'full_path': '/api/method/frappe.chat.doctype.chat_profile.chat_profile.create?', 'method': 'POST', 'scheme': 'http', 'http_status_code': 200}
2020-07-12 12:03:04,712 INFO frappe.web {'site': 'localhost', 'remote_addr': '172.22.0.1', 'base_url': 'http://localhost:8005/api/method/frappe.chat.doctype.chat_room.chat_room.get', 'full_path': '/api/method/frappe.chat.doctype.chat_room.chat_room.get?', 'method': 'POST', 'scheme': 'http', 'http_status_code': 200}
2020-07-12 12:03:05,725 INFO frappe.web {'site': 'localhost', 'remote_addr': '172.22.0.1', 'base_url': 'http://localhost:8005/api/method/frappe.desk.page.setup_wizard.setup_wizard.load_messages', 'full_path': '/api/method/frappe.desk.page.setup_wizard.setup_wizard.load_messages?', 'method': 'POST', 'scheme': 'http', 'http_status_code': 200}
2020-07-12 12:03:12,986 INFO frappe.web {'site': 'localhost', 'remote_addr': '172.22.0.1', 'base_url': 'http://localhost:8005/assets/js/awesomplete.min.js.map', 'full_path': '/assets/js/awesomplete.min.js.map?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 404}
2020-07-12 12:03:19,692 INFO frappe.web {'site': 'localhost', 'remote_addr': '172.22.0.1', 'base_url': 'http://localhost:8005/desk', 'full_path': '/desk?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
